1245	1195
1254	466
612	351
1175	247
1703	204
1215	1131
596	1713
205	1759
751	215
643	785
566	1475
904	1654
1183	911
643	1226
485	626
1099	1111
20	1569
1225	472
1137	698
1132	866
1831	1708
1146	1389
568	1183
1876	107
1732	710
1616	321
1254	71
1851	346
1321	1603
1329	959
122	1816
972	1379
1820	1021
1465	1696
252	521
1183	940
1389	811
342	488
462	272
777	1803
751	313
1653	1115
1954	1302
1810	207
1720	1138
573	1320
1146	133
1132	1096
2047	1182
65	1304
1303	167
1357	2026
1954	572
676	1238
1321	218
1465	1455
102	1456
2047	1124
1851	263
918	660
1659	814
1321	2001
1703	1325
1225	624
2047	1854
1625	1126
1245	343
1005	616
585	245
661	772
735	228
471	808
1227	1538
596	477
1908	1684
612	1805
1970	1219
526	1157
972	1553
573	262
132	1327
397	1777
583	102
2022	117
904	1946
1139	1883
122	76
472	265
836	2020
665	1432
1357	341
224	1826
65	1605
918	1899
397	1025
1329	1600
102	751
1245	1746
512	363
1625	1152
118	679
349	1029
1954	4
526	357
1416	938
1790	1485
2047	1227
307	106
1720	873
1099	473
1970	441
1810	1596
1245	1298
1439	518
1954	1938
471	366
1605	372
1245	1748
992	1269
396	1783
1831	711
1616	1270
585	1020
977	1150
1005	1702
1751	938
777	355
1175	11
1772	837
1553	713
658	695
1348	109
1416	355
1733	660
1653	1334
52	1696
192	873
1795	1156
1124	1144
1720	219
1860	830
735	1653
1227	1426
1139	1397
1817	818
566	113
1876	409
214	1955
1896	554
20	1571
907	420
1926	351
462	1332
1099	1052
145	1005
566	1133
596	1188
1124	872
1831	1684
1201	531
1693	1184
1733	1631
1439	1295
974	880
1625	553
2037	909
1215	22
918	1895
907	786
1005	239
1137	1234
397	1994
1254	1843
1860	715
974	302
1908	818
20	1426
205	76
1653	160
735	242
789	166
1321	455
342	1247
1820	345
1084	1583
491	1770
1852	845
789	1643
1240	674
1303	1990
1201	1831
491	328
665	553
397	891
1863	1183
836	254
918	1428
1361	1799
2037	1717
1836	1649
13	511
1831	1642
53	1425
1127	1597
491	510
310	108
1836	1424
1201	1231
53	1137
1817	1680
145	94
1720	129
132	1772
992	546
1896	1616
1720	1964
1533	895
1553	1721
585	1782
713	1620
1227	987
1616	1268
1820	1966
1215	663
1227	772
751	651
1616	1470
2014	1583
1533	366
224	822
1232	1222
1542	287
512	1254
836	451
1703	1536
310	1277
1790	474
1139	1352
676	1778
1896	1285
583	1286
1876	1793
512	1543
1175	322
1926	724
1795	552
1240	986
1810	191
676	687
1099	2020
1896	1797
899	553
132	176
1183	360
1465	554
1005	1919
1801	1657
1348	1809
1201	1584
1908	1558
1170	747
1542	564
1303	2023
1595	815
1817	866
2022	829
918	702
2014	1740
1175	1025
1595	1357
1984	1353
1005	1764
652	868
1542	753
1553	1102
1183	628
1625	907
1625	1832
1240	881
1732	1843
18	1436
972	2020
1303	880
568	1230
1139	983
612	1904
836	682
1801	316
472	2037
735	561
1175	1964
1132	343
1389	128
252	1898
1175	819
307	511
1132	593
1303	419
1772	1205
789	1213
1137	181
145	1233
1703	1331
472	1185
585	71
275	678
1817	1002
65	750
214	196
2014	1281
1146	696
1659	1383
1926	72
596	1336
52	1090
573	1301
102	1911
1795	165
864	554
1970	1293
1732	1222
1876	11
485	1200
349	1906
573	1454
1465	889
1238	796
661	38
761	789
789	1293
899	1323
643	1866
224	1938
974	1109
1329	1959
367	744
1795	513
1238	2041
977	727
1439	1523
665	52
1605	295
1739	167
526	1638
512	1341
214	843
1852	1659
568	1615
1146	1178
397	202
751	303
1616	151
1215	481
1175	458
224	219
396	1092
145	1352
676	1593
566	1422
1908	1170
1732	1787
1099	410
1804	2019
1348	223
713	955
192	376
566	1633
612	285
777	1534
1389	577
612	792
310	1380
1739	1727
676	877
735	41
1215	978
751	1653
147	92
585	2042
665	222
1201	1432
974	1151
735	223
864	1169
2014	1496
472	859
53	383
1238	1195
612	603
1852	611
1232	1867
907	601
310	56
1860	272
512	378
1720	1094
1127	1514
1542	12
596	342
1357	1952
1801	1585
1553	784
1860	789
2037	1494
1720	1074
1321	31
1720	1865
1553	1398
52	0
713	1479
205	931
1863	1065
1225	1383
864	474
1254	785
2014	436
1321	1091
397	1029
1245	1266
275	673
52	1310
596	1698
713	1419
145	1342
1927	281
899	1635
472	1800
658	1965
1137	893
1863	1808
205	280
1926	639
1132	389
1329	1364
145	1268
471	889
751	721
1329	436
1790	97
1703	1130
568	743
1732	31
751	274
1361	1680
1254	1657
310	466
1245	939
1465	1003
1170	209
2037	1531
65	415
1225	1144
1542	1630
1851	416
1876	1384
1836	206
1693	702
118	609
307	748
214	1219
65	280
2022	1365
1132	377
205	2039
1739	1195
342	1600
1348	301
864	716
1751	1574
1790	2020
972	1879
342	582
1616	807
1863	1455
864	1224
1605	554
1225	1768
596	802
907	474
1120	93
102	1183
2047	256
1170	778
542	1965
1139	1021
1232	610
1132	1000
1183	1013
864	1650
1970	820
1215	99
1605	326
1795	651
652	240
1820	465
2022	1088
1175	690
205	301
789	1106
192	560
1751	625
52	624
977	1444
1810	877
1137	1693
18	1255
836	319
205	310
1127	1806
1852	443
1132	1778
665	1144
1245	1272
412	144
1851	30
205	775
